Keyword,Exact user intent,Monthly search volume if available,Search Console impressions,Search Console clicks,CTR,Average position,Current ranking CruiseKit page,Best target CruiseKit page,Existing or new page?,Priority score,Recommended title tag,Recommended meta description,Recommended H1,Recommended H2/FAQ additions,Recommended CTA,Internal links to add,Content action,Tracking notes,Evidence source,Evidence strength,Authenticated decision,Tracking/source caveat
how much is a cruise drink package,Wants drink package price ranges.,Unavailable,3,0,0%,60,/guides/drink-package-guide,/guides/drink-package-guide,Existing,77,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add H2/FAQ: How much is a cruise drink package?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 3 impressions / pos 60; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
how much is a drink package on a cruise,Wants package pricing before buying.,Unavailable,2,0,0%,59.5,/guides/drink-package-guide,/guides/drink-package-guide,Existing,77,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add H2/FAQ: How much is a drink package on a cruise?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 2 impressions / pos 59.5; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
is the drink package worth it,Wants to know if a drink package pays off.,50,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/drink-package-guide,Existing,77,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add H2/FAQ: Is the drink package worth it?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 50/mo; Keyword Planner seed,Medium,Map for review before implementation,No exact GSC match yet
royal caribbean hidden costs,Wants Royal Caribbean fees beyond fare.,140,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/royal-caribbean-cruise-cost,Existing,77,How Much Does a Royal Caribbean Cruise Really Cost?,"Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",royal caribbean hidden costs,Add H2/FAQ: Royal caribbean hidden costs?,Calculate my real cruise cost,Calculator hub and related guide pages,B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 140/mo; Keyword Planner related idea,Medium,Map for review before implementation,No exact GSC match yet
which cruise line has the cheapest drink package,Wants comparison by line.,Unavailable,1,0,0%,58,/guides/drink-package-guide,/guides/drink-package-guide,Existing,77,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add H2/FAQ: Which cruise line has the cheapest drink package?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 58; GSC exact,Light,Map for review before implementation,No reported Keyword Planner volume
are cruise prices per person or room,Wants pricing mechanics clarification before booking.,Unavailable,1,0,0%,67,/,/cruise-costs,Existing,76,"Cruise Costs Guide: Fare, Fees, Tips, Drinks, WiFi & Extras","Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",are cruise prices per person or room,Add H2/FAQ: Are cruise prices per person or room?,Calculate my real cruise cost,Calculator hub and related guide pages,B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 67; GSC exact,Light,Map for review before implementation,No reported Keyword Planner volume
average royal caribbean cruise cost,Wants average Royal Caribbean cost.,Unavailable,2,0,0%,32,/calculator/royal-caribbean,/calculator/royal-caribbean,Existing,76,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Average royal caribbean cruise cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 2 impressions / pos 32; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
cruise expenses,Wants a broad list of cruise expenses.,Unavailable,1,0,0%,52,/cruise-costs,/cruise-costs,Existing,76,"Cruise Costs Guide: Fare, Fees, Tips, Drinks, WiFi & Extras","Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",cruise expenses,Add FAQ using exact query wording: cruise expenses,Calculate my real cruise cost,Calculator hub and related guide pages,B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 52; GSC exact,Light,Map for review before implementation,No reported Keyword Planner volume
cruise gratuities calculator,Wants to calculate cruise gratuities using plural wording.,Unavailable,3,0,0%,58.67,/,/guides/cruise-tipping-guide,Existing,76,Cruise Gratuity Calculator + Tipping Guide,"Calculate cruise gratuities by line, cabin, guests, and trip length, then see how tips affect your total cruise budget.",Cruise Tipping Guide,Add H2/FAQ: Cruise gratuities calculator?,Calculate my cruise gratuities,"Calculator hub, line calculator pages, hidden-cost blog, FAQ",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 3 impressions / pos 58.67; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
cruise taxes and port fees,Wants to know whether taxes and port fees are included.,90,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/hidden-cruise-costs,Existing,76,Hidden Cruise Costs: 15 Fees to Budget Before You Book,"See the cruise fees that advertised fares leave out, including gratuities, drink packages, WiFi, excursions, port fees, and onboard extras.",Hidden Cruise Costs,Add H2/FAQ: Cruise taxes and port fees?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 90/mo; Keyword Planner seed,Medium,Map for review before implementation,No exact GSC match yet
cruise tip calculator,Wants a tipping calculator.,Unavailable,4,0,0%,70,/,/guides/cruise-tipping-guide,Existing,76,Cruise Gratuity Calculator + Tipping Guide,"Calculate cruise gratuities by line, cabin, guests, and trip length, then see how tips affect your total cruise budget.",Cruise Tipping Guide,Add FAQ using exact query wording: cruise tip calculator,Calculate my cruise gratuities,"Calculator hub, line calculator pages, hidden-cost blog, FAQ",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 4 impressions / pos 70; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
royal caribbean cruise cost,Wants Royal Caribbean cost estimate.,Unavailable,2,0,0%,42,/calculator/royal-caribbean,/calculator/royal-caribbean,Existing,76,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Royal caribbean cruise cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 2 impressions / pos 42; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
hidden cruise costs,Wants fees and add-ons excluded from advertised cruise fares.,70,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/hidden-cruise-costs,Existing,74,Hidden Cruise Costs: 15 Fees to Budget Before You Book,"See the cruise fees that advertised fares leave out, including gratuities, drink packages, WiFi, excursions, port fees, and onboard extras.",Hidden Cruise Costs,Add H2/FAQ: Hidden cruise costs?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 70/mo; Keyword Planner seed; Google Trends comparison,Medium,Map for review before implementation,No exact GSC match yet
carnival cheers drink package worth it,Wants to decide if Carnival CHEERS is worth it.,No reported volume,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/carnival-cheers-drink-package-worth-it,Existing,73,Carnival CHEERS Drink Package: Is It Worth It?,"Calculate whether Carnival CHEERS is worth it after drink prices, daily package cost, and service charges.",carnival cheers drink package worth it,Add H2/FAQ: Carnival cheers drink package worth it?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner seed with no reported volume,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
cruise budget calculator,Wants a planning budget for a cruise vacation before committing.,10,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,73,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Cruise budget calculator?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",A;B;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 10/mo; Keyword Planner seed,Light,Map for review before implementation,No exact GSC match yet
cruise excursion budget,Wants to budget shore excursions.,No reported volume,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/port-day-tips,Existing,73,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add H2/FAQ: Cruise excursion budget?,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner seed with no reported volume,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
carnival cruise cost calculator,Wants Carnival-specific full-cost calculator.,No reported volume,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/carnival,Existing,72,Carnival Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Carnival cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Carnival Cruise Cost Calculator,Add H2/FAQ: Carnival cruise cost calculator?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",A;B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner seed with no reported volume,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
disney cruise budget,Wants family-oriented Disney cruise budget.,30,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/disney-cruise-cost,Existing,72,How Much Does a Disney Cruise Really Cost?,"Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",disney cruise budget,Add H2/FAQ: Disney cruise budget?,Calculate my real cruise cost,Calculator hub and related guide pages,A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 30/mo; Keyword Planner seed,Light,Map for review before implementation,No exact GSC match yet
how much does a cruise really cost,Researching realistic cruise total after mandatory and optional extras.,20,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/how-much-does-a-cruise-really-cost-2026,Existing,72,How Much Does a Cruise Really Cost in 2026? Real Fare + Fees,"See what a cruise really costs after taxes, gratuities, drinks, WiFi, excursions, port spending, and pre-cruise expenses.",How Much Does a Cruise Really Cost?,Add H2/FAQ: How much does a cruise really cost?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 20/mo; Keyword Planner seed,Light,Map for review before implementation,No exact GSC match yet
norwegian cruise cost calculator,Wants a Norwegian-specific full-cost calculator.,No reported volume,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/norwegian,Existing,72,Norwegian Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Norwegian cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Norwegian Cruise Cost Calculator,Add H2/FAQ: Norwegian cruise cost calculator?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",A;B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner seed with no reported volume,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
royal caribbean cruise cost calculator,Wants Royal Caribbean-specific full-cost calculator.,No reported volume,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/royal-caribbean,Existing,72,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Royal caribbean cruise cost calculator?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",A;B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner seed with no reported volume,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
average cost of cruise excursions,Wants average excursion cost by port/trip.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/port-day-tips,Existing,71,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add H2/FAQ: Average cost of cruise excursions?,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,SERP review,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
carnival drink package worth it,Wants Carnival package break-even decision.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/carnival-cheers-drink-package-worth-it,Existing,71,Carnival CHEERS Drink Package: Is It Worth It?,"Calculate whether Carnival CHEERS is worth it after drink prices, daily package cost, and service charges.",carnival drink package worth it,Add H2/FAQ: Carnival drink package worth it?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Google Trends Carnival drink package,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
how much does a cruise cost,Broad cost research; needs average examples plus calculator CTA.,Unavailable,18,0,0%,91.83,/calculator,/blog/how-much-does-a-cruise-really-cost-2026,Existing,71,How Much Does a Cruise Really Cost in 2026? Real Fare + Fees,"See what a cruise really costs after taxes, gratuities, drinks, WiFi, excursions, port spending, and pre-cruise expenses.",How Much Does a Cruise Really Cost?,Add H2/FAQ: How much does a cruise cost?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 18 impressions / pos 91.83; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
how much is a cruise,Broad average-cost research before booking.,Unavailable,10,0,0%,90.6,/,/blog/how-much-does-a-cruise-really-cost-2026,Existing,71,How Much Does a Cruise Really Cost in 2026? Real Fare + Fees,"See what a cruise really costs after taxes, gratuities, drinks, WiFi, excursions, port spending, and pre-cruise expenses.",How Much Does a Cruise Really Cost?,Add FAQ using exact query wording: how much is a cruise,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 10 impressions / pos 90.6; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
"which trusted tools/calculators help estimate an all-in cruise cost, including onboard add-ons (drinks, wi-fi, gratuities, excursions, specialty dining)?",Wants a trusted all-in calculator that accounts for add-ons.,Unavailable,6,0,0%,3.83,/calculator,/calculator,Existing,71,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,"Add H2/FAQ: Which trusted tools/calculators help estimate an all-in cruise cost, including onboard add-ons (drinks, wi-fi, gratuities, excursions, specialty dining)?",Check my drink-package break-even point,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 6 impressions / pos 3.83; GSC exact long-tail query,Medium,Map for review before implementation,Ready for review; do not implement until approved
are cruise gratuities mandatory,Wants to know if auto-gratuities can be removed or avoided.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/cruise-tipping-guide,Existing,70,Cruise Gratuity Calculator + Tipping Guide,"Calculate cruise gratuities by line, cabin, guests, and trip length, then see how tips affect your total cruise budget.",Cruise Tipping Guide,Add H2/FAQ: Are cruise gratuities mandatory?,Calculate my cruise gratuities,"Calculator hub, line calculator pages, hidden-cost blog, FAQ",B;C,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,public community hook,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
carnival cruise cost,Wants Carnival total cost estimate.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/carnival-cruise-cost,Existing,70,How Much Does a Carnival Cruise Really Cost?,"Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",carnival cruise cost,Add H2/FAQ: Carnival cruise cost?,Calculate my real cruise cost,Calculator hub and related guide pages,B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,existing line cost blog,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
carnival cruise gratuities per day,Wants Carnival daily gratuity amount.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/carnival,Existing,70,Carnival Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Carnival cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Carnival Cruise Cost Calculator,Add H2/FAQ: Carnival cruise gratuities per day?,Calculate my cruise gratuities,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",line calculator data available,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
cruise drinks package calculator,Wants drink-package calculator using UK-style wording.,Unavailable,1,0,0%,74,/guides/drink-package-guide,/guides/drink-package-guide,Existing,70,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add FAQ using exact query wording: cruise drinks package calculator,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D;E,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 74; GSC exact,Light,Map for review before implementation,No reported Keyword Planner volume
cruise fare vs total cost,Wants to understand advertised fare versus real trip total.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,70,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Cruise fare vs total cost?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",positioning default,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
cruise onboard expenses,Wants to plan onboard extras after fare.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,70,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add FAQ using exact query wording: cruise onboard expenses,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",cost calculator feature fit,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
cruise port spending,Wants to plan port-day cash and card spending.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/port-day-tips,Existing,70,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add FAQ using exact query wording: cruise port spending,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,public question pattern,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
cruise vacation cost calculator,"Wants the full trip cost, including travel and onboard extras.",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,70,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Cruise vacation cost calculator?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",public autocomplete pattern,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
cruise wifi calculator,Wants to estimate WiFi add-on cost.,Unavailable,1,0,0%,73,/,/calculator,Existing,70,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Cruise wifi calculator?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 1 impressions / pos 73; GSC exact,Light,Map for review before implementation,No reported Keyword Planner volume
disney cruise cost calculator,Wants Disney-specific full-cost calculator.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/disney,Existing,70,Disney Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Disney cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Disney Cruise Cost Calculator,Add H2/FAQ: Disney cruise cost calculator?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",A;B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",public autocomplete pattern,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
hidden cruise costs nobody tells you,Wants surprising or commonly missed cruise fees.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/hidden-cruise-costs,Existing,70,Hidden Cruise Costs: 15 Fees to Budget Before You Book,"See the cruise fees that advertised fares leave out, including gratuities, drink packages, WiFi, excursions, port fees, and onboard extras.",Hidden Cruise Costs,Add H2/FAQ: Hidden cruise costs nobody tells you?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,existing page title variant,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
how much does a 7 day cruise cost per person,Wants an average 7-night per-person estimate.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/how-much-does-a-cruise-really-cost-2026,Existing,70,How Much Does a Cruise Really Cost in 2026? Real Fare + Fees,"See what a cruise really costs after taxes, gratuities, drinks, WiFi, excursions, port spending, and pre-cruise expenses.",How Much Does a Cruise Really Cost?,Add H2/FAQ: How much does a 7 day cruise cost per person?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,public autocomplete pattern,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
how much does a cruise actually cost,Wants real cost rather than advertised fare.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/how-much-does-a-cruise-really-cost-2026,Existing,70,How Much Does a Cruise Really Cost in 2026? Real Fare + Fees,"See what a cruise really costs after taxes, gratuities, drinks, WiFi, excursions, port spending, and pre-cruise expenses.",How Much Does a Cruise Really Cost?,Add H2/FAQ: How much does a cruise actually cost?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,public question wording,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
msc cruise cost calculator,Wants MSC-specific full-cost calculator.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/msc,Existing,70,MSC Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a MSC cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",MSC Cruise Cost Calculator,Add H2/FAQ: Msc cruise cost calculator?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",A;B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",public autocomplete pattern,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
real cruise cost calculator,"Wants actual total cost, not advertised fare.",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,70,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Real cruise cost calculator?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Positioning default; public autocomplete pattern,Medium,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
should I prepay gratuities or pay onboard,Wants decision help for prepaid tips.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/cruise-tipping-guide,Existing,70,Cruise Gratuity Calculator + Tipping Guide,"Calculate cruise gratuities by line, cabin, guests, and trip length, then see how tips affect your total cruise budget.",Cruise Tipping Guide,Add H2/FAQ: Should I prepay gratuities or pay onboard?,Calculate my cruise gratuities,"Calculator hub, line calculator pages, hidden-cost blog, FAQ",B;C,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,public community hook,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
