Opportunity set,Query,Page,Clicks,Impressions,CTR,Average position,Country,Device,Export window,Opportunity reason,Best target page,Recommended action,Priority
Ranking position 30-70,the key royal caribbean cost,All pages query export,0,1,0%,59,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 59.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,disney cruise vs royal caribbean size,All pages query export,0,1,0%,65,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 65.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,are cruise prices per person or room,All pages query export,0,1,0%,67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 67.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Ranking position 30-70,average cost of a 5 day cruise,All pages query export,0,1,0%,67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 67.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Ranking position 30-70,cruise ship ticket cost,All pages query export,0,1,0%,69,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 69.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Ranking position 30-70,how much money should you bring on a cruise,All pages query export,0,1,0%,69,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 69.",/calculator,Review manually,76
Ranking position 30-70,cruise ship travel cost,All pages query export,0,1,0%,70,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 70.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Small content improvement,cruise tip calculator,/calculator,0,1,0%,71,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,76
Page-filter validation: Ranking position 30-70,royal caribbean cruise fare,/calculator/royal-caribbean,0,1,0%,34,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Page-filter validation: Ranking position 30-70,royal caribbean cost,/calculator/royal-caribbean,0,1,0%,38,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Page-filter validation: Ranking position 30-70,how much are royal caribbean cruises,/calculator/royal-caribbean,0,1,0%,46,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Page-filter validation: Ranking position 30-70,the key royal caribbean cost,/calculator/royal-caribbean,0,1,0%,59,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Page-filter validation: Ranking position 30-70,how to monitor cruise prices,/cruise-costs,0,1,0%,47,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,track cruise prices,/,0,1,0%,51,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,cruise ship tour cost,/,0,1,0%,56,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,cruise cost,/,0,1,0%,57,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,are cruise prices per person or room,/,0,1,0%,67,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,average cost of a 5 day cruise,/,0,1,0%,67,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,cruise ship ticket cost,/,0,1,0%,69,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,how much money should you bring on a cruise,/,0,1,0%,69,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,76
Page-filter validation: Ranking position 30-70,cruise ship travel cost,/,0,1,0%,70,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Review,how to monitor cruise prices,/,0,1,0%,75,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Small content improvement,"which trusted tools/calculators help estimate an all-in cruise cost, 
including onboard add-ons (drinks, wi‑fi, gratuities, excursions, specialty 
dining)?",All pages query export,0,6,0%,3.83,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 6 impressions, 0 clicks, position 3.83.",/calculator,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,75
Page-filter validation: Small content improvement,"which trusted tools/calculators help estimate an all-in cruise cost, 
including onboard add-ons (drinks, wi‑fi, gratuities, excursions, specialty 
dining)?",/calculator,0,6,0%,3.83,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,75
Small content improvement,celebrity cruises drink package vs virgin voyages bar tab,All pages query export,0,1,0%,3,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 3.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,75
Small content improvement,"how can trusted tools estimate the real out-the-door price for a budget 
30-day cruise with minimal extras?",All pages query export,0,1,0%,6,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 6.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,74
Small content improvement,average cost virgin voyages vs celebrity caribbean cruise couple,All pages query export,0,1,0%,7,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 7.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,74
Small content improvement,cruise ship drink calculator,All pages query export,0,1,0%,73,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 73.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,74
Page-filter validation: Small content improvement,cruise ship drink calculator,/guides/drink-package-guide,0,1,0%,73,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,74
Page-filter validation: Small content improvement,"how can trusted tools estimate the real out-the-door price for a budget 
30-day cruise with minimal extras?",/,0,1,0%,6,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,74
High impressions / weak CTR,how much does a cruise cost,All pages query export,0,18,0%,91.83,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 18 impressions, 0 clicks, position 91.83.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,71
Page-filter validation: High impressions / weak CTR,how much does a cruise cost,/calculator,0,11,0%,92.55,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,71
High impressions / weak CTR,how much is a cruise,All pages query export,0,10,0%,90.6,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 10 impressions, 0 clicks, position 90.6.",/calculator,Review manually,71
Page-filter validation: Review,how much is a cruise,/,0,7,0%,94.14,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,71
Page-filter validation: Small content improvement,how much does a cruise cost,/,0,6,0%,97.33,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,71
Page-filter validation: Review,how much is a cruise,/cruise-costs,0,3,0%,82.33,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,Review manually,71
Page-filter validation: Small content improvement,how much does a cruise cost,/cruise-costs,0,2,0%,75.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,71
Small content improvement,drinks package calculator,All pages query export,0,2,0%,76.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 76.5.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,70
Page-filter validation: Small content improvement,drinks package calculator,/guides/drink-package-guide,0,2,0%,76.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,70
Review,cruise ship packages price,All pages query export,0,1,0%,72,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 72.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,70
Small content improvement,cruise wifi calculator,All pages query export,0,1,0%,73,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 73.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,70
Small content improvement,cruise drinks package calculator,All pages query export,0,1,0%,74,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 74.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,70
Page-filter validation: Small content improvement,cruise drinks package calculator,/guides/drink-package-guide,0,1,0%,74,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,70
Page-filter validation: Review,cruise ship packages price,/,0,1,0%,72,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,70
Page-filter validation: Small content improvement,cruise wifi calculator,/,0,1,0%,73,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,70
Review,how much is it to go on a cruise,All pages query export,0,5,0%,90.6,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 5 impressions, 0 clicks, position 90.6.",/calculator,Review manually,69
Small content improvement,how much do cruises cost,All pages query export,0,5,0%,91.6,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 5 impressions, 0 clicks, position 91.6.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is it to go on a cruise,/,0,5,0%,90.6,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Review,how much do you spend on a cruise,All pages query export,0,4,0%,91.75,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 4 impressions, 0 clicks, position 91.75.",/calculator,Review manually,69
Page-filter validation: Review,how much do you spend on a cruise,/,0,4,0%,91.75,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Small content improvement,how much does it cost for a cruise,All pages query export,0,3,0%,83,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 83.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is a cruise ship,All pages query export,0,3,0%,87,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 87.",/calculator,Review manually,69
Review,how much money should i take on a cruise,All pages query export,0,3,0%,90.67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 90.67.",/calculator,Review manually,69
Small content improvement,how much does it cost to go on a cruise,All pages query export,0,3,0%,92.33,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 92.33.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much do cruises cost,/calculator,0,3,0%,95,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a cruise ship,/,0,3,0%,87,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,how much money should i take on a cruise,/,0,3,0%,90.67,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much does it cost to go on a cruise,/,0,3,0%,92.33,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is a 5 day cruise,All pages query export,0,2,0%,72,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 72.",/calculator,Review manually,69
Small content improvement,how much would a cruise cost,All pages query export,0,2,0%,83.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 83.5.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much does it cost for a cruise ship,All pages query export,0,2,0%,84,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 84.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much does cruise cost,All pages query export,0,2,0%,85,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 85.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much does an average cruise cost,All pages query export,0,2,0%,87.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 87.5.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,what is the average cost of a cruise,All pages query export,0,2,0%,88,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 88.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much do cruise cost,All pages query export,0,2,0%,90,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 90.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much does a typical cruise cost,All pages query export,0,2,0%,91,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 91.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is a 7 day cruise,All pages query export,0,2,0%,96,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 96.",/calculator,Review manually,69
Page-filter validation: Small content improvement,how much do cruises cost,/cruise-costs,0,2,0%,86.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a 5 day cruise,/,0,2,0%,72,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much does it cost for a cruise,/,0,2,0%,84,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does it cost for a cruise ship,/,0,2,0%,84,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does a typical cruise cost,/,0,2,0%,91,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a 7 day cruise,/,0,2,0%,96,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Small content improvement,how much does a 4 day cruise cost,All pages query export,0,1,0%,71,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 71.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much does a cruise cost for 1 person,All pages query export,0,1,0%,72,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 72.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,average cost of 5 day cruise,All pages query export,0,1,0%,73,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 73.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is a cruise ship trip,All pages query export,0,1,0%,74,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 74.",/calculator,Review manually,69
Review,prices of a cruise,All pages query export,0,1,0%,74,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 74.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,what is the average price of a cruise,All pages query export,0,1,0%,74,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 74.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,what is the cost of a cruise ship,All pages query export,0,1,0%,76,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 76.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much to go on a cruise ship,All pages query export,0,1,0%,77,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 77.",/calculator,Review manually,69
Review,how much are cruise ships,All pages query export,0,1,0%,78,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 78.",/calculator,Review manually,69
Review,how much for a cruise,All pages query export,0,1,0%,81,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 81.",/calculator,Review manually,69
Small content improvement,how much would it cost to go on a cruise,All pages query export,0,1,0%,81,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 81.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much cost a cruise ship,All pages query export,0,1,0%,82,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 82.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,cost to go on a cruise,All pages query export,0,1,0%,84,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 84.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,average cost of a cruise per person,All pages query export,0,1,0%,85,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 85.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much money do you need on a cruise,All pages query export,0,1,0%,86,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 86.",/calculator,Review manually,69
Review,what is the price of a cruise,All pages query export,0,1,0%,86,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 86.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is a cruise on average,All pages query export,0,1,0%,87,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 87.",/calculator,Review manually,69
Small content improvement,how much it cost to go on a cruise,All pages query export,0,1,0%,88,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 88.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much money is a cruise,All pages query export,0,1,0%,88,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 88.",/calculator,Review manually,69
Small content improvement,how much do cruise ships cost,All pages query export,0,1,0%,89,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 89.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is it for a cruise,All pages query export,0,1,0%,89,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 89.",/calculator,Review manually,69
Small content improvement,how much does it cost to go on cruise,All pages query export,0,1,0%,90,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 90.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is a 365 day cruise,All pages query export,0,1,0%,90,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 90.",/calculator,Review manually,69
Review,how much is it to take a cruise,All pages query export,0,1,0%,90,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 90.",/calculator,Review manually,69
Review,how much is a 30 day cruise,All pages query export,0,1,0%,91,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 91.",/calculator,Review manually,69
Review,how much is a cruise for a week,All pages query export,0,1,0%,93,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 93.",/calculator,Review manually,69
Review,how much money is a cruise ship,All pages query export,0,1,0%,93,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 93.",/calculator,Review manually,69
Review,what do you have to pay for on a cruise,All pages query export,0,1,0%,93,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 93.",/blog/hidden-cruise-costs,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much does a cruise usually cost,All pages query export,0,1,0%,94,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 94.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is it to go on a cruise ship,All pages query export,0,1,0%,94,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 94.",/calculator,Review manually,69
Small content improvement,how much will a cruise cost,All pages query export,0,1,0%,94,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 94.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,what do you pay for on a cruise,All pages query export,0,1,0%,94,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 94.",/blog/hidden-cruise-costs,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,how much does a 3 day cruise cost,All pages query export,0,1,0%,95,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 95.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
